1,0
2,7
3,35
4,37
5,70
6,110
7,122
8,124
9,361
10,363
11,370
12,398
13,400
14,499
15,524
16,531
17,533
18,1182
19,1184
20,1191
21,1193
22,1238
23,1272
24,1354
25,1382
26,1384
27,1418
28,1420
29,1513
30,1541
31,1590
32,1647
33,1649
34,1720
35,1722
36,1766
37,1814
38,1860
39,1884
40,1939
41,1990
42,1992
43,2075
44,2155
45,2233
46,2287
47,2289
48,2390
49,2473
50,2488
51,2490
52,2501
53,2514
54,2530
55,2534
56,2547
57,2563
58,2567
59,2571
60,2573
61,2618
62,2654
63,2695
64,2730
65,2732
66,2744
67,2746
68,2858
69,2860
70,2879
71,2907
72,2909
73,2914
74,2916
75,2967
76,2969
77,3020
78,3022
79,3062
80,3064
81,3108
82,3113
83,3115
84,3294
85,3296
86,3338
87,3340
88,3347
89,3375
90,3377
91,3410
92,3412
93,3433
94,3435
95,3457
96,3459
97,3487
98,3489
99,3493
100,3505
101,3550
102,3552
103,3819
104,3821
105,3964
106,3966
